Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
11-OCT-2024,13.495,13.7025,11.535,13.22,13.495,-0.28,-2.04
14-OCT-2024,13.22,13.735,12.915,12.995,13.22,-0.23,-1.70
15-OCT-2024,12.995,13.3625,10.9225,13.0025,12.995,0.01,0.06
16-OCT-2024,13.0025,13.56,11.435,13.0525,13.0025,0.05,0.38
17-OCT-2024,13.0525,13.465,11.0625,13.3875,13.0525,0.34,2.57
18-OCT-2024,13.3875,14.06,12.8675,13.0375,13.3875,-0.35,-2.61
21-OCT-2024,13.0375,14.195,12.5525,13.7625,13.0375,0.73,5.56
22-OCT-2024,13.7625,14.515,9.47,14.395,13.7625,0.63,4.60
23-OCT-2024,14.395,15.0325,11.74,14.6225,14.395,0.23,1.58
24-OCT-2024,14.6225,14.8975,12.695,13.97,14.6225,-0.65,-4.46
25-OCT-2024,13.97,15.08,13.35,14.6325,13.97,0.66,4.74
28-OCT-2024,14.6325,15.4775,13.535,14.29,14.6325,-0.34,-2.34
29-OCT-2024,14.29,15.0275,13.5575,14.515,14.29,0.23,1.57
30-OCT-2024,14.515,15.7,14.28,15.51,14.515,1.00,6.85
31-OCT-2024,15.51,16.24,14.6525,15.55,15.51,0.04,0.26
01-NOV-2024,15.55,16.125,13.6325,15.9025,15.55,0.35,2.27
04-NOV-2024,15.9025,17.6,14.7775,16.6875,15.9025,0.79,4.94
05-NOV-2024,16.6875,19.02,15.795,16.1225,16.6875,-0.57,-3.39
06-NOV-2024,16.1225,20.75,14.7125,14.8675,16.1225,-1.26,-7.78
07-NOV-2024,14.8675,15.5225,14.2675,14.94,14.8675,0.07,0.49
08-NOV-2024,14.94,15.725,14.3925,14.47,14.94,-0.47,-3.15
11-NOV-2024,14.47,15.47,13.1175,14.27,14.47,-0.20,-1.38
12-NOV-2024,14.27,14.8375,12.74,14.59,14.27,0.32,2.24
13-NOV-2024,14.59,15.865,13.9325,15.435,14.59,0.85,5.79
14-NOV-2024,15.435,15.685,13.4075,14.775,15.435,-0.66,-4.28
18-NOV-2024,14.775,16.58,13.755,15.1675,14.775,0.39,2.66
19-NOV-2024,15.1675,16.185,12.7325,15.6625,15.1675,0.50,3.26
21-NOV-2024,15.6625,16.78,14.8375,15.99,15.6625,0.33,2.09
22-NOV-2024,15.99,18.67,12.7525,16.0975,15.99,0.11,0.67
25-NOV-2024,16.0975,16.865,13.63,15.3025,16.0975,-0.80,-4.94
26-NOV-2024,15.3025,16.26,13.8725,15.305,15.3025,0.00,0.02
27-NOV-2024,15.305,15.305,13.245,14.625,15.305,-0.68,-4.44
28-NOV-2024,14.625,15.5625,14.27,15.205,14.625,0.58,3.97
29-NOV-2024,15.205,15.4575,14.3325,14.425,15.205,-0.78,-5.13
02-DEC-2024,14.425,15.08,13.3125,14.7,14.425,0.28,1.91
03-DEC-2024,14.7,14.89,14.235,14.3725,14.7,-0.33,-2.23
04-DEC-2024,14.3725,14.7975,14.11,14.45,14.3725,0.08,0.54
05-DEC-2024,14.45,15.705,14.055,14.5275,14.45,0.08,0.54
06-DEC-2024,14.5275,15.0225,14.045,14.14,14.5275,-0.39,-2.67
09-DEC-2024,14.14,14.635,13.45,14.1075,14.14,-0.03,-0.23
10-DEC-2024,14.1075,14.6725,13.6975,13.7775,14.1075,-0.33,-2.34
11-DEC-2024,13.7775,14.11,13.175,13.2675,13.7775,-0.51,-3.70
12-DEC-2024,13.2675,13.4,12.9475,13.19,13.2675,-0.08,-0.58
13-DEC-2024,13.19,14.72,12.47,13.0525,13.19,-0.14,-1.04
16-DEC-2024,13.0525,14.505,13.0525,14.02,13.0525,0.97,7.41
17-DEC-2024,14.02,14.975,13.18,14.485,14.02,0.47,3.32
18-DEC-2024,14.485,15.2425,14.27,14.3725,14.485,-0.11,-0.78
19-DEC-2024,14.3725,15.435,13.87,14.51,14.3725,0.14,0.96
20-DEC-2024,14.51,15.5525,14.3975,15.0725,14.51,0.56,3.88
23-DEC-2024,15.0725,16.8825,13.4175,13.52,15.0725,-1.55,-10.30
24-DEC-2024,13.52,15.03,12.975,13.1775,13.52,-0.34,-2.53
26-DEC-2024,13.1775,14.3875,13.0825,14.035,13.1775,0.86,6.51
27-DEC-2024,14.035,14.2375,13.035,13.2375,14.035,-0.80,-5.68
30-DEC-2024,13.2375,14.37,13.2375,13.9725,13.2375,0.74,5.55
31-DEC-2024,13.9725,14.6375,13.9725,14.4475,13.9725,0.48,3.40
