Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
28-JUL-2023,10.5125,10.81,10.035,10.135,10.5125,-0.38,-3.59
31-JUL-2023,10.135,11.1875,10.135,10.4125,10.135,0.28,2.74
01-AUG-2023,10.4125,10.7025,10.195,10.2825,10.4125,-0.13,-1.25
02-AUG-2023,10.2825,11.805,9.95,11.2775,10.2825,1.00,9.68
03-AUG-2023,11.2775,11.96,10.9825,11.185,11.2775,-0.09,-0.82
04-AUG-2023,11.185,11.185,10.4825,10.5725,11.185,-0.61,-5.48
07-AUG-2023,10.5725,11.4175,10.4025,11.1025,10.5725,0.53,5.01
08-AUG-2023,11.1025,11.53,11.1025,11.325,11.1025,0.22,2.00
09-AUG-2023,11.325,11.765,10.485,11.14,11.325,-0.19,-1.63
10-AUG-2023,11.14,11.91,10.6275,11.4,11.14,0.26,2.33
11-AUG-2023,11.4,11.865,11.355,11.5225,11.4,0.12,1.07
14-AUG-2023,11.5225,12.755,10.4775,11.995,11.5225,0.47,4.10
16-AUG-2023,11.995,12.6825,11.995,12.125,11.995,0.13,1.08
17-AUG-2023,12.125,12.665,12.1125,12.24,12.125,0.12,0.95
18-AUG-2023,12.24,12.4925,10.7875,12.1425,12.24,-0.10,-0.80
21-AUG-2023,12.1425,12.59,11.1725,11.96,12.1425,-0.18,-1.50
22-AUG-2023,11.96,12.085,11.59,11.7475,11.96,-0.21,-1.78
23-AUG-2023,11.7475,11.885,10.3075,11.7275,11.7475,-0.02,-0.17
24-AUG-2023,11.7275,12.235,10.1975,11.7,11.7275,-0.03,-0.23
25-AUG-2023,11.7,12.2425,9.98,12.0825,11.7,0.38,3.27
28-AUG-2023,12.0825,12.72,9.5,12.3975,12.0825,0.32,2.61
